slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
ccalgfp3,5.0,6.0,73105.88554519843,9165.904079973196,63939.98146522523,13.57032561302185,openmm_minimized
ccalofp1,10.0,16.0,292319.9820755684,14030.87510506633,278289.10697050206,13.404743671417236,openmm_minimized
ccalrfp1,6.0,8.0,-32091277.440970972,13622.733334358352,-32104900.17430533,13.334421396255491,openmm_minimized
ccalyfp1,4.0,7.0,69003.6978715658,11929.044112798574,57074.65375876723,11.471988439559937,openmm_minimized
cerfp505,8.0,9.0,286062.47569710395,9368.554602069764,276693.92109503417,11.543943405151367,openmm_minimized
cfp,6.0,6.0,62558.54351634334,11363.233110901672,51195.31040544167,10.762523174285889,openmm_minimized
cfp4,6.0,7.0,52969.30893549635,11651.664026161568,41317.644909334784,14.31272029876709,openmm_minimized
cfp484,6.0,9.0,1555838.7062680773,14598.005018430962,1541240.7012496465,13.500351667404177,openmm_minimized
cfsgfp2,9.0,11.0,65883.4361662914,12404.001457524551,53479.43470876685,12.8677818775177,openmm_minimized
cgfmkate2,13.0,16.0,85608.1064935654,8684.058583750679,76924.04790981472,12.15803074836731,openmm_minimized
cgfp,4.0,6.0,71224.32161404047,11762.75241895658,59461.56919508389,10.98669171333313,openmm_minimized
cgftagrfp,5.0,9.0,89092.21722379762,9418.648489797572,79673.56873400004,11.601597785949709,openmm_minimized
cgigcp,7.0,12.0,-3865567.309621777,11003.0098712652,-3876570.319493042,12.758414030075071,openmm_minimized
cgiggfp,9.0,13.0,-201126.63439916016,12504.965653686557,-213631.6000528467,12.044215202331545,openmm_minimized
cgp,7.0,8.0,99309.75689883168,12029.878236776574,87279.87866205513,12.989798545837402,openmm_minimized
chegfp1,3.0,4.0,82879.14658166083,11838.650560590911,71040.4960210699,13.65603256225586,openmm_minimized
chegfp2,12.0,14.0,3298833448.890121,16415.291420471796,3298817033.5987005,13.876548528671265,openmm_minimized
chegfp3,6.0,6.0,6924724.640563733,11405.964961963193,6913318.67560177,13.38326621055603,openmm_minimized
chegfp4,25.0,27.0,849352077191.4016,14708.569617712736,849352062482.832,13.910341501235962,openmm_minimized
citrine2,3.0,2.0,48291.10890829656,11773.84734319489,36517.261565101675,13.11326789855957,openmm_minimized
cjblue2,5.0,10.0,110605.01446483344,11232.348323363654,99372.6661414698,14.556612014770508,openmm_minimized
cjfp510,12.0,11.0,2272370.7569390577,9221.785757448662,2263148.971181609,13.592668533325195,openmm_minimized
clover15,7.0,5.0,49881.79791023831,10875.088439789277,39006.70947044904,10.452588081359863,openmm_minimized
cpascp,7.0,12.0,11706928.791866018,11417.4792901969,11695511.31257582,11.217822313308716,openmm_minimized
cpcitrine,6.0,10.0,1350412.3369393952,12198.899489257858,1338213.4374501372,14.024515628814695,openmm_minimized
crimson,7.0,16.0,187796.22836722704,11825.454500374706,175970.77386685234,13.137365102767944,openmm_minimized
crispred2s,5.0,8.0,70846.36547034052,8536.51049004779,62309.85498029273,13.462021112442017,openmm_minimized
cu17s,9.0,8.0,187817.52301681403,14733.25206946568,173084.27094734836,12.711220979690552,openmm_minimized
cyofp1,8.0,14.0,772829.2721568898,9942.747611117797,762886.524545772,13.964281797409058,openmm_minimized
cypet,9.0,7.0,72038.41470697103,12031.130161215771,60007.28454575526,11.319021701812744,openmm_minimized
cyrfp1,13.0,20.0,1299098.885395278,10049.755127473274,1289049.1302678047,14.37238073348999,openmm_minimized
d-rfp618,12.0,14.0,256365.10070036465,10690.057244413863,245675.04345595077,11.92209815979004,openmm_minimized
d10,10.0,10.0,62822.84061727364,12022.09834012234,50800.7422771513,13.032211065292358,openmm_minimized
d1eosfp,5.0,8.0,70260.2452381763,9333.112694058604,60927.132544117696,11.4354145526886,openmm_minimized
d2eosfp,6.0,9.0,76760.64792558974,9634.950413828135,67125.69751176161,11.389758348464966,openmm_minimized
darkvenus,9.0,9.0,55352.548578419504,11484.940886836335,43867.607691583165,11.732927083969116,openmm_minimized
dclavgr16,5.0,8.0,200511.3935204684,13336.150970137254,187175.24255033117,12.820316791534424,openmm_minimized
dclover2,9.0,5.0,-103195.96143059211,11559.60284692468,-114755.5642775168,11.63181495666504,openmm_minimized
dclover2-a206k,7.0,5.0,1146682.0102581305,11068.606063722124,1135613.404194408,12.02648663520813,openmm_minimized
dcyofp2s,7.0,13.0,94477.9060677318,10538.6341653033,83939.27190242849,13.911175966262816,openmm_minimized
